bodyId,bodyName,type,subType,discoveredBy,discoveredDt,materials,radius,rings,isLandable,gravity,terraformable,updateTime,EDSM
18,"Smojaei XE-G c24-1 2 d a",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:17:55",,404.91,,,0.04,"Not terraformable","2024-05-22 02:17:55",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
19,"Smojaei XE-G c24-1 2 e",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:17:34","Iron:19.04, Sulphur:18.42, Carbon:15.49, Nickel:14.4, Phosphorus:9.92, Chromium:8.56, Manganese:7.86, Selenium:2.88, Molybdenum:1.24, Yttrium:1.14, Tungsten:1.05",894.32,,1,0.11,"Not terraformable","2024-05-22 22:32:55",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
20,"Smojaei XE-G c24-1 3",Planet,"Class I gas giant","Commander Picard","2017-11-14 03:36:32",,40988.66,,,0.52,,"2024-05-22 02:16:34",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
21,"Smojaei XE-G c24-1 3 a",Planet,"Icy body","CMDR Scott Fleming","2024-05-22 02:16:39","Sulphur:27.12, Carbon:22.8, Phosphorus:14.6, Iron:12.52, Nickel:9.47, Manganese:5.17, Selenium:4.24, Arsenic:1.6, Cadmium:0.97, Antimony:0.76, Tin:0.75",696.13,,1,0.04,"Not terraformable","2024-05-22 02:16:39",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
22,"Smojaei XE-G c24-1 3 b",Planet,"Icy body","CMDR Scott Fleming","2024-05-22 02:16:47","Sulphur:27.93, Carbon:23.49, Phosphorus:15.04, Iron:12.68, Nickel:9.59, Germanium:3.64, Zinc:3.45, Arsenic:1.63, Tellurium:0.94, Niobium:0.87, Tin:0.75",505.76,,1,0.03,"Not terraformable","2024-05-22 02:16:47",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
23,"Smojaei XE-G c24-1 3 c",Planet,"Icy body","CMDR Scott Fleming","2024-05-22 02:16:52","Sulphur:26.72, Carbon:22.47, Phosphorus:14.39, Iron:12.14, Nickel:9.18, Chromium:5.46, Selenium:4.18, Vanadium:2.98, Cadmium:0.94, Molybdenum:0.79, Ruthenium:0.75",551.30,,1,0.03,"Not terraformable","2024-05-22 02:16:52",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
24,"Smojaei XE-G c24-1 4",Planet,"Class I gas giant","Commander Picard","2017-11-14 03:36:43",,49489.92,"Rocky, Icy",,0.85,,"2024-05-22 02:18:45",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
27,"Smojaei XE-G c24-1 4 a",Planet,"Icy body","CMDR Scott Fleming","2024-05-22 02:18:56","Sulphur:26.87, Carbon:22.6, Phosphorus:14.47, Iron:12.2, Nickel:9.23, Chromium:5.49, Selenium:4.21, Vanadium:3, Antimony:0.74, Tungsten:0.67, Mercury:0.53",590.34,,1,0.03,"Not terraformable","2024-05-22 02:18:56",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
28,"Smojaei XE-G c24-1 4 b",Planet,"Icy body","CMDR Scott Fleming","2024-05-22 02:19:01","Sulphur:27.23, Carbon:22.9, Phosphorus:14.66, Iron:12.37, Nickel:9.35, Manganese:5.11, Zinc:3.36, Vanadium:3.04, Molybdenum:0.81, Tin:0.73, Technetium:0.44",734.79,,1,0.04,"Not terraformable","2024-05-22 02:19:01",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
29,"Smojaei XE-G c24-1 4 c",Planet,"Icy body","CMDR Scott Fleming","2024-05-22 02:19:06","Sulphur:26.95, Carbon:22.66, Phosphorus:14.51, Iron:12.24, Nickel:9.26, Manganese:5.05, Germanium:3.51, Zinc:3.33, Cadmium:0.95, Molybdenum:0.8, Antimony:0.74",854.81,,1,0.05,"Not terraformable","2024-05-22 02:19:06",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
31,"Smojaei XE-G c24-1 5",Planet,"Icy body","Commander Picard","2017-11-14 03:36:43",,14207.88,Icy,,1.38,,"2024-05-29 02:10:50",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
