bodyId,bodyName,type,subType,discoveredBy,discoveredDt,materials,radius,rings,isLandable,gravity,terraformable,updateTime,EDSM
22,"Qiefaa EB-U d4-20 A 2 a",Planet,"Rocky body",DrGalactose,"2021-11-15 14:12:48","Iron:18.42, Sulphur:18.07, Carbon:15.19, Nickel:13.93, Phosphorus:9.73, Chromium:8.28, Manganese:7.61, Zinc:5.01, Cadmium:1.43, Molybdenum:1.2, Ruthenium:1.14",395.92,,1,0.05,"Not terraformable","2024-03-31 21:48:33",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
24,"Qiefaa EB-U d4-20 A 2 b",Planet,"Icy body",DrGalactose,"2021-11-15 14:12:57",,5019.82,"Metal Rich",,0.32,"Not terraformable","2024-03-31 21:48:38",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
27,"Qiefaa EB-U d4-20 A 3",Planet,"Class III gas giant",DrGalactose,"2021-11-15 14:12:31",,73224.40,"Metal Rich",,14.18,"Not terraformable","2021-11-15 14:12:31",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
29,"Qiefaa EB-U d4-20 A 4",Planet,"High metal content world",DrGalactose,"2021-11-15 14:12:23",,7293.82,,,1.29,"Not terraformable","2024-03-31 21:49:23",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
31,"Qiefaa EB-U d4-20 A 5",Planet,"Class II gas giant",DrGalactose,"2021-11-15 14:13:16",,75580.69,"Metal Rich",,5.7,"Not terraformable","2024-03-31 21:47:21",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
33,"Qiefaa EB-U d4-20 A 5 a",Planet,"Rocky body",DrGalactose,"2021-11-15 14:13:44",,699.00,,,0.08,"Not terraformable","2024-03-31 21:47:29",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
34,"Qiefaa EB-U d4-20 A 5 b",Planet,"Icy body",DrGalactose,"2021-11-15 14:14:38","Sulphur:25.9, Carbon:21.78, Phosphorus:13.94, Iron:13.73, Nickel:10.39, Manganese:5.67, Germanium:3.97, Arsenic:1.77, Cadmium:1.07, Niobium:0.94, Antimony:0.84",2103.65,,1,0.14,"Not terraformable","2024-03-31 21:47:32",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
35,"Qiefaa EB-U d4-20 A 5 c",Planet,"Icy body",DrGalactose,"2021-11-15 14:14:43","Sulphur:26.75, Carbon:22.49, Phosphorus:14.4, Iron:11.97, Nickel:9.05, Chromium:5.38, Selenium:4.19, Germanium:3.46, Cadmium:0.93, Yttrium:0.71, Tungsten:0.66",1746.48,,1,0.11,"Not terraformable","2024-03-31 21:47:36",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
36,"Qiefaa EB-U d4-20 A 6",Planet,"Icy body",DrGalactose,"2021-11-15 14:14:17",,18028.53,Icy,,1.7,"Not terraformable","2024-03-31 21:47:53",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
38,"Qiefaa EB-U d4-20 A 6 a",Planet,"Icy body",DrGalactose,"2021-11-15 14:14:12","Sulphur:27.27, Carbon:22.93, Phosphorus:14.68, Iron:12.2, Nickel:9.23, Manganese:5.04, Zinc:3.31, Vanadium:3, Cadmium:0.95, Yttrium:0.73, Tungsten:0.67",837.88,,1,0.05,"Not terraformable","2024-03-31 21:47:41",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
39,"Qiefaa EB-U d4-20 A 6 b",Planet,"Icy body",DrGalactose,"2021-11-15 14:13:56","Sulphur:27.96, Carbon:23.51, Phosphorus:15.05, Iron:12.51, Nickel:9.46, Selenium:4.38, Zinc:3.4, Zirconium:1.45, Molybdenum:0.82, Ruthenium:0.77, Tungsten:0.69",670.09,,1,0.04,"Not terraformable","2024-03-31 21:47:47",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
40,"Qiefaa EB-U d4-20 A 7",Planet,"Icy body",DrGalactose,"2021-11-15 14:12:12",,18374.21,Icy,,2.71,"Not terraformable","2024-03-31 21:48:43",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
3,"Qiefaa EB-U d4-20 B",Star,"K (Yellow-Orange) Star",DrGalactose,"2021-11-15 14:10:57",,0,,0,0,0,"2024-03-31 21:46:42",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
4,"Qiefaa EB-U d4-20 C",Star,"M (Red dwarf) Star",DrGalactose,"2021-11-15 14:10:57",,0,,0,0,0,"2024-03-31 21:46:42",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
